	id	title	local	subway	distance	walk
173	147	중화카츠 성수본점	성수동	서울숲역	306.0	1
280	148	에이투비 Cafe&Bar	성수동	성수역	174.0	1
446	149	그리드채플린	성수동	성수역	254.0	1
329	150	카멜커피 7호점	성수동	뚝섬역	378.0	2
242	151	포피나	성수동	뚝섬역	590.0	3
181	152	기후	성수동	성수역	410.0	2
355	153	성수옥상	성수동	성수역	651.0	3
340	154	BNHR	성수동	성수역	243.0	1
156	155	정돈 성수점	성수동	서울숲역	257.0	1
46	156	세광양대창 성수점	성수동	성수역	52.0	1
24	157	무식당 성수본점	성수동	뚝섬역	206.0	1
228	158	타코튜즈데이 성수점	성수동	뚝섬역	155.0	1
225	159	팩피	성수동	뚝섬역	274.0	1
102	160	짬뽕위에더짬뽕	성수동	뚝섬역	279.0	1
184	161	텐동식당	성수동	성수역	192.0	1
37	162	성수동 간판없는집	성수동	뚝섬역	176.0	1
289	163	테니	성수동	성수역	583.0	3
334	164	어라운드데이	성수동	서울숲역	515.0	2
190	165	고운 돈카츠	성수동	성수역	55.0	1
27	166	홍화돈	성수동	뚝섬역	59.0	1
246	167	누메로뜨레쓰	성수동	서울숲역	441.0	2
28	168	뚝도농원	성수동	성수역	155.0	1
206	169	스케줄 성수	성수동	성수역	74.0	1
75	170	달구벌반점	성수동	성수역	709.0	3
